route,best_model,MAE,RMSE,MAPE,residual_status
1B,XGBoost,1964.0703125,2342.8269892350654,4.410232278612544,Tidak Berlaku
2B,LSTM,2512.626997778813,3422.907120214448,3.502504490975832,Tidak Berlaku
3A,ARIMA,6490.869396131202,7062.360665524137,5.838416150684598,Lolos (White Noise)
3B,Holt-Winters,4870.932533744616,6070.888822920298,6.085336957126257,Lolos (White Noise)
4A,SARIMA,3205.2967316320373,3981.319021919152,12.83766338040038,Lolos (White Noise)
4B,SARIMA,3479.142317077356,6948.005533212717,14.077995285103198,Lolos (White Noise)
5A,XGBoost,1963.8863932291667,2535.403189887593,6.075072231590411,Tidak Berlaku
5B,Random Forest,4416.888279727989,5610.796656359019,13.49658147655062,Tidak Berlaku
6,Random Forest,2364.681666666666,3128.912476321977,6.081812811667639,Tidak Berlaku
8,Holt-Winters,14979.415780433124,15939.699477211305,30.31936714394962,Lolos (White Noise)
9,SARIMAX,2392.1244199585585,2826.069794125533,6.0350132120133715,Lolos (White Noise)
10,BiLSTM,1738.4835097193718,2096.183999321299,3.718991866879821,Tidak Berlaku
11,BiLSTM,2001.5526875555515,2366.761942195003,9.328100565538474,Tidak Berlaku
13,Holt-Winters,984.3791222606851,1249.3483250435802,4.535262009099602,Lolos (White Noise)
14,XGBoost,1019.0602213541666,1729.9219620788053,3.8188286576231434,Tidak Berlaku
15,SARIMAX,15724.94120906473,18142.3069709725,10.5811377719966,Lolos (White Noise)
