route,best_model,last_train_period,forecast_period,period_category,prediction
10,BiLSTM,2025-12-01,2026-01-01,Normal,43814
11,BiLSTM,2025-12-01,2026-01-01,Normal,17706
13,Holt-Winters,2025-12-01,2026-01-01,Normal,20324
14,XGBoost,2025-12-01,2026-01-01,Normal,23335
15,SARIMAX,2025-12-01,2026-01-01,Normal,134429
1B,XGBoost,2025-12-01,2026-01-01,Normal,47328
2B,LSTM,2025-12-01,2026-01-01,Normal,70411
3A,ARIMA,2025-12-01,2026-01-01,Normal,108142
3B,Holt-Winters,2025-12-01,2026-01-01,Normal,73057
4A,SARIMA,2025-12-01,2026-01-01,Normal,26095
4B,SARIMA,2025-12-01,2026-01-01,Normal,21553
5A,XGBoost,2025-12-01,2026-01-01,Normal,29799
5B,Random Forest,2025-12-01,2026-01-01,Normal,27035
6,Random Forest,2025-12-01,2026-01-01,Normal,36553
8,Holt-Winters,2025-12-01,2026-01-01,Normal,56300
9,SARIMAX,2025-12-01,2026-01-01,Normal,38686
