route,period,passengers,is_eid_holiday,is_school_year_end,is_year_end_holiday
10,2023-01-01,26215.0,0,0,0
10,2023-02-01,24362.0,0,0,0
10,2023-03-01,27098.0,0,0,0
10,2023-04-01,22066.0,1,0,0
10,2023-05-01,29111.0,0,0,0
10,2023-06-01,27550.0,0,1,0
10,2023-07-01,31036.0,0,1,0
10,2023-08-01,30269.0,0,0,0
10,2023-09-01,32057.0,0,0,0
10,2023-10-01,29953.0,0,0,0
10,2023-11-01,30503.0,0,0,0
10,2023-12-01,30721.0,0,0,1
10,2024-01-01,27526.0,0,0,0
10,2024-02-01,31856.0,0,0,0
10,2024-03-01,30635.0,0,0,0
10,2024-04-01,27584.0,1,0,0
10,2024-05-01,34130.0,0,0,0
10,2024-06-01,31128.0,0,1,0
10,2024-07-01,37051.0,0,1,0
10,2024-08-01,41643.0,0,0,0
10,2024-09-01,41083.0,0,0,0
10,2024-10-01,46632.0,0,0,0
10,2024-11-01,46221.0,0,0,0
10,2024-12-01,49380.0,0,0,1
10,2025-01-01,45261.0,0,0,0
10,2025-02-01,42214.0,0,0,0
10,2025-03-01,37325.0,1,0,0
10,2025-04-01,40586.0,1,0,0
10,2025-05-01,41398.0,0,0,0
10,2025-06-01,42473.0,0,1,0
10,2025-07-01,46845.0,0,1,0
10,2025-08-01,45132.0,0,0,0
10,2025-09-01,46157.0,0,0,0
10,2025-10-01,47872.0,0,0,0
10,2025-11-01,47361.0,0,0,0
10,2025-12-01,46065.0,0,0,1
11,2023-01-01,8354.0,0,0,0
11,2023-02-01,8682.0,0,0,0
11,2023-03-01,9235.0,0,0,0
11,2023-04-01,6764.0,1,0,0
11,2023-05-01,8928.0,0,0,0
11,2023-06-01,7673.0,0,1,0
11,2023-07-01,9782.0,0,1,0
11,2023-08-01,10825.0,0,0,0
11,2023-09-01,10907.0,0,0,0
11,2023-10-01,11477.0,0,0,0
11,2023-11-01,11244.0,0,0,0
11,2023-12-01,11456.0,0,0,1
11,2024-01-01,11315.0,0,0,0
11,2024-02-01,12499.0,0,0,0
11,2024-03-01,13118.0,0,0,0
11,2024-04-01,10640.0,1,0,0
11,2024-05-01,12631.0,0,0,0
11,2024-06-01,11740.0,0,1,0
11,2024-07-01,22576.0,0,1,0
11,2024-08-01,26943.0,0,0,0
11,2024-09-01,21613.0,0,0,0
11,2024-10-01,23925.0,0,0,0
11,2024-11-01,22374.0,0,0,0
11,2024-12-01,15514.0,0,0,1
11,2025-01-01,14226.0,0,0,0
11,2025-02-01,16411.0,0,0,0
11,2025-03-01,15872.0,1,0,0
11,2025-04-01,18745.0,1,0,0
11,2025-05-01,20893.0,0,0,0
11,2025-06-01,15968.0,0,1,0
11,2025-07-01,20400.0,0,1,0
11,2025-08-01,22202.0,0,0,0
11,2025-09-01,23935.0,0,0,0
11,2025-10-01,20766.0,0,0,0
11,2025-11-01,20773.0,0,0,0
11,2025-12-01,21362.0,0,0,1
13,2023-01-01,9905.0,0,0,0
13,2023-02-01,9948.0,0,0,0
13,2023-03-01,10809.0,0,0,0
13,2023-04-01,9599.0,1,0,0
13,2023-05-01,11455.0,0,0,0
13,2023-06-01,11099.0,0,1,0
13,2023-07-01,12938.0,0,1,0
13,2023-08-01,12030.0,0,0,0
13,2023-09-01,12271.0,0,0,0
13,2023-10-01,12980.0,0,0,0
13,2023-11-01,12305.0,0,0,0
13,2023-12-01,14652.0,0,0,1
13,2024-01-01,12753.0,0,0,0
13,2024-02-01,17394.0,0,0,0
13,2024-03-01,16608.0,0,0,0
13,2024-04-01,16302.0,1,0,0
13,2024-05-01,18835.0,0,0,0
13,2024-06-01,17376.0,0,1,0
13,2024-07-01,20276.0,0,1,0
13,2024-08-01,19320.0,0,0,0
13,2024-09-01,20061.0,0,0,0
13,2024-10-01,19803.0,0,0,0
13,2024-11-01,19275.0,0,0,0
13,2024-12-01,21177.0,0,0,1
13,2025-01-01,18722.0,0,0,0
13,2025-02-01,24473.0,0,0,0
13,2025-03-01,14228.0,1,0,0
13,2025-04-01,15974.0,1,0,0
13,2025-05-01,17120.0,0,0,0
13,2025-06-01,18732.0,0,1,0
13,2025-07-01,20862.0,0,1,0
13,2025-08-01,20173.0,0,0,0
13,2025-09-01,22668.0,0,0,0
13,2025-10-01,20999.0,0,0,0
13,2025-11-01,21377.0,0,0,0
13,2025-12-01,21275.0,0,0,1
14,2023-01-01,23476.0,0,0,0
14,2023-02-01,22027.0,0,0,0
14,2023-03-01,22651.0,0,0,0
14,2023-04-01,17058.0,1,0,0
14,2023-05-01,23057.0,0,0,0
14,2023-06-01,20046.0,0,1,0
14,2023-07-01,23335.0,0,1,0
14,2023-08-01,26622.0,0,0,0
14,2023-09-01,25996.0,0,0,0
14,2023-10-01,28862.0,0,0,0
14,2023-11-01,28090.0,0,0,0
14,2023-12-01,27787.0,0,0,1
14,2024-01-01,24939.0,0,0,0
14,2024-02-01,23995.0,0,0,0
14,2024-03-01,23998.0,0,0,0
14,2024-04-01,20772.0,1,0,0
14,2024-05-01,24299.0,0,0,0
14,2024-06-01,20597.0,0,1,0
14,2024-07-01,24777.0,0,1,0
14,2024-08-01,27068.0,0,0,0
14,2024-09-01,26454.0,0,0,0
14,2024-10-01,28268.0,0,0,0
14,2024-11-01,24620.0,0,0,0
14,2024-12-01,24826.0,0,0,1
14,2025-01-01,24496.0,0,0,0
14,2025-02-01,29108.0,0,0,0
14,2025-03-01,17357.0,1,0,0
14,2025-04-01,20245.0,1,0,0
14,2025-05-01,20595.0,0,0,0
14,2025-06-01,18130.0,0,1,0
14,2025-07-01,22374.0,0,1,0
14,2025-08-01,23671.0,0,0,0
14,2025-09-01,23227.0,0,0,0
14,2025-10-01,28222.0,0,0,0
14,2025-11-01,23551.0,0,0,0
14,2025-12-01,25104.0,0,0,1
15,2023-01-01,49451.0,0,0,0
15,2023-02-01,43274.0,0,0,0
15,2023-03-01,46647.0,0,0,0
15,2023-04-01,45535.0,1,0,0
15,2023-05-01,54037.0,0,0,0
15,2023-06-01,53382.0,0,1,0
15,2023-07-01,62141.0,0,1,0
15,2023-08-01,57319.0,0,0,0
15,2023-09-01,62947.0,0,0,0
15,2023-10-01,60837.0,0,0,0
15,2023-11-01,61613.0,0,0,0
15,2023-12-01,74775.0,0,0,1
15,2024-01-01,63826.0,0,0,0
15,2024-02-01,82458.0,0,0,0
15,2024-03-01,78412.0,0,0,0
15,2024-04-01,87798.0,1,0,0
15,2024-05-01,101930.0,0,0,0
15,2024-06-01,125572.0,0,1,0
15,2024-07-01,137730.0,0,1,0
15,2024-08-01,120596.0,0,0,0
15,2024-09-01,121231.0,0,0,0
15,2024-10-01,121589.0,0,0,0
15,2024-11-01,121341.0,0,0,0
15,2024-12-01,140023.0,0,0,1
15,2025-01-01,118828.0,0,0,0
15,2025-02-01,113374.0,0,0,0
15,2025-03-01,109040.0,1,0,0
15,2025-04-01,145003.0,1,0,0
15,2025-05-01,138205.0,0,0,0
15,2025-06-01,122316.0,0,1,0
15,2025-07-01,152555.0,0,1,0
15,2025-08-01,136946.0,0,0,0
