route,best_model,model_file,scaler_file,native_model_file,model_file_absolute,scaler_file_absolute,native_model_file_absolute,last_train_period,forecast_horizon,forecast_method,status
1B,XGBoost,models/1B_XGBoost.pkl,,models/1B_XGBoost.json,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/1B_XGBoost.pkl,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/1B_XGBoost.json,2025-12,1,Recursive Final Forecast,Tersimpan
2B,LSTM,models/2B_LSTM.keras,scalers/2B_LSTM_scaler.pkl,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/2B_LSTM.keras,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/scalers/2B_LSTM_scaler.pkl,,2025-12,1,Recursive Final Forecast,Tersimpan
3A,ARIMA,models/3A_ARIMA.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/3A_ARIMA.pkl,,,2025-12,1,Direct Final Forecast,Tersimpan
3B,Holt-Winters,models/3B_Holt-Winters.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/3B_Holt-Winters.pkl,,,2025-12,1,Direct Final Forecast,Tersimpan
4A,SARIMA,models/4A_SARIMA.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/4A_SARIMA.pkl,,,2025-12,1,Direct Final Forecast,Tersimpan
4B,SARIMA,models/4B_SARIMA.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/4B_SARIMA.pkl,,,2025-12,1,Direct Final Forecast,Tersimpan
5A,XGBoost,models/5A_XGBoost.pkl,,models/5A_XGBoost.json,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/5A_XGBoost.pkl,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/5A_XGBoost.json,2025-12,1,Recursive Final Forecast,Tersimpan
5B,Random Forest,models/5B_Random_Forest.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/5B_Random_Forest.pkl,,,2025-12,1,Recursive Final Forecast,Tersimpan
6,Random Forest,models/6_Random_Forest.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/6_Random_Forest.pkl,,,2025-12,1,Recursive Final Forecast,Tersimpan
8,Holt-Winters,models/8_Holt-Winters.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/8_Holt-Winters.pkl,,,2025-12,1,Direct Final Forecast,Tersimpan
9,SARIMAX,models/9_SARIMAX.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/9_SARIMAX.pkl,,,2025-12,1,Direct Final Forecast,Tersimpan
10,BiLSTM,models/10_BiLSTM.keras,scalers/10_BiLSTM_scaler.pkl,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/10_BiLSTM.keras,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/scalers/10_BiLSTM_scaler.pkl,,2025-12,1,Recursive Final Forecast,Tersimpan
11,BiLSTM,models/11_BiLSTM.keras,scalers/11_BiLSTM_scaler.pkl,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/11_BiLSTM.keras,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/scalers/11_BiLSTM_scaler.pkl,,2025-12,1,Recursive Final Forecast,Tersimpan
13,Holt-Winters,models/13_Holt-Winters.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/13_Holt-Winters.pkl,,,2025-12,1,Direct Final Forecast,Tersimpan
14,XGBoost,models/14_XGBoost.pkl,,models/14_XGBoost.json,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/14_XGBoost.pkl,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/14_XGBoost.json,2025-12,1,Recursive Final Forecast,Tersimpan
15,SARIMAX,models/15_SARIMAX.pkl,,,/content/drive/MyDrive/kuliah/skripsi/transjogja_forecasting/model_artifacts/models/15_SARIMAX.pkl,,,2025-12,1,Direct Final Forecast,Tersimpan
