route,period,passengers,month_num,quarter,time_index,lag_1,lag_2,lag_3,rolling_mean_3,month_sin,month_cos,is_eid_holiday,is_school_year_end,is_year_end_holiday
10,2023-01-01,26215.0,1,1,1,,,,,0.4999999999999999,0.8660254037844387,0,0,0
10,2023-02-01,24362.0,2,1,2,26215.0,,,,0.8660254037844386,0.5000000000000001,0,0,0
10,2023-03-01,27098.0,3,1,3,24362.0,26215.0,,,1.0,6.123233995736766e-17,0,0,0
10,2023-04-01,22066.0,4,2,4,27098.0,24362.0,26215.0,25891.666666666668,0.8660254037844387,-0.4999999999999998,1,0,0
10,2023-05-01,29111.0,5,2,5,22066.0,27098.0,24362.0,24508.666666666668,0.4999999999999999,-0.8660254037844387,0,0,0
10,2023-06-01,27550.0,6,2,6,29111.0,22066.0,27098.0,26091.666666666668,1.2246467991473532e-16,-1.0,0,1,0
10,2023-07-01,31036.0,7,3,7,27550.0,29111.0,22066.0,26242.33333333333,-0.4999999999999997,-0.8660254037844388,0,1,0
10,2023-08-01,30269.0,8,3,8,31036.0,27550.0,29111.0,29232.33333333333,-0.8660254037844384,-0.5000000000000004,0,0,0
10,2023-09-01,32057.0,9,3,9,30269.0,31036.0,27550.0,29618.33333333333,-1.0,-1.8369701987210294e-16,0,0,0
10,2023-10-01,29953.0,10,4,10,32057.0,30269.0,31036.0,31120.666666666668,-0.8660254037844386,0.5000000000000001,0,0,0
10,2023-11-01,30503.0,11,4,11,29953.0,32057.0,30269.0,30759.666666666668,-0.5000000000000004,0.8660254037844384,0,0,0
10,2023-12-01,30721.0,12,4,12,30503.0,29953.0,32057.0,30837.666666666668,-2.4492935982947064e-16,1.0,0,0,1
10,2024-01-01,27526.0,1,1,13,30721.0,30503.0,29953.0,30392.33333333333,0.4999999999999999,0.8660254037844387,0,0,0
10,2024-02-01,31856.0,2,1,14,27526.0,30721.0,30503.0,29583.33333333333,0.8660254037844386,0.5000000000000001,0,0,0
10,2024-03-01,30635.0,3,1,15,31856.0,27526.0,30721.0,30034.33333333333,1.0,6.123233995736766e-17,0,0,0
10,2024-04-01,27584.0,4,2,16,30635.0,31856.0,27526.0,30005.666666666668,0.8660254037844387,-0.4999999999999998,1,0,0
10,2024-05-01,34130.0,5,2,17,27584.0,30635.0,31856.0,30025.0,0.4999999999999999,-0.8660254037844387,0,0,0
10,2024-06-01,31128.0,6,2,18,34130.0,27584.0,30635.0,30783.0,1.2246467991473532e-16,-1.0,0,1,0
10,2024-07-01,37051.0,7,3,19,31128.0,34130.0,27584.0,30947.33333333333,-0.4999999999999997,-0.8660254037844388,0,1,0
10,2024-08-01,41643.0,8,3,20,37051.0,31128.0,34130.0,34103.0,-0.8660254037844384,-0.5000000000000004,0,0,0
10,2024-09-01,41083.0,9,3,21,41643.0,37051.0,31128.0,36607.333333333336,-1.0,-1.8369701987210294e-16,0,0,0
10,2024-10-01,46632.0,10,4,22,41083.0,41643.0,37051.0,39925.66666666666,-0.8660254037844386,0.5000000000000001,0,0,0
10,2024-11-01,46221.0,11,4,23,46632.0,41083.0,41643.0,43119.333333333336,-0.5000000000000004,0.8660254037844384,0,0,0
10,2024-12-01,49380.0,12,4,24,46221.0,46632.0,41083.0,44645.333333333336,-2.4492935982947064e-16,1.0,0,0,1
10,2025-01-01,45261.0,1,1,25,49380.0,46221.0,46632.0,47411.0,0.4999999999999999,0.8660254037844387,0,0,0
10,2025-02-01,42214.0,2,1,26,45261.0,49380.0,46221.0,46954.0,0.8660254037844386,0.5000000000000001,0,0,0
10,2025-03-01,37325.0,3,1,27,42214.0,45261.0,49380.0,45618.333333333336,1.0,6.123233995736766e-17,1,0,0
10,2025-04-01,40586.0,4,2,28,37325.0,42214.0,45261.0,41600.0,0.8660254037844387,-0.4999999999999998,1,0,0
10,2025-05-01,41398.0,5,2,29,40586.0,37325.0,42214.0,40041.66666666666,0.4999999999999999,-0.8660254037844387,0,0,0
10,2025-06-01,42473.0,6,2,30,41398.0,40586.0,37325.0,39769.66666666666,1.2246467991473532e-16,-1.0,0,1,0
10,2025-07-01,46845.0,7,3,31,42473.0,41398.0,40586.0,41485.66666666666,-0.4999999999999997,-0.8660254037844388,0,1,0
10,2025-08-01,45132.0,8,3,32,46845.0,42473.0,41398.0,43572.0,-0.8660254037844384,-0.5000000000000004,0,0,0
10,2025-09-01,46157.0,9,3,33,45132.0,46845.0,42473.0,44816.66666666666,-1.0,-1.8369701987210294e-16,0,0,0
10,2025-10-01,47872.0,10,4,34,46157.0,45132.0,46845.0,46044.66666666666,-0.8660254037844386,0.5000000000000001,0,0,0
10,2025-11-01,47361.0,11,4,35,47872.0,46157.0,45132.0,46387.0,-0.5000000000000004,0.8660254037844384,0,0,0
10,2025-12-01,46065.0,12,4,36,47361.0,47872.0,46157.0,47130.0,-2.4492935982947064e-16,1.0,0,0,1
11,2023-01-01,8354.0,1,1,1,,,,,0.4999999999999999,0.8660254037844387,0,0,0
11,2023-02-01,8682.0,2,1,2,8354.0,,,,0.8660254037844386,0.5000000000000001,0,0,0
11,2023-03-01,9235.0,3,1,3,8682.0,8354.0,,,1.0,6.123233995736766e-17,0,0,0
11,2023-04-01,6764.0,4,2,4,9235.0,8682.0,8354.0,8757.0,0.8660254037844387,-0.4999999999999998,1,0,0
11,2023-05-01,8928.0,5,2,5,6764.0,9235.0,8682.0,8227.0,0.4999999999999999,-0.8660254037844387,0,0,0
11,2023-06-01,7673.0,6,2,6,8928.0,6764.0,9235.0,8309.0,1.2246467991473532e-16,-1.0,0,1,0
11,2023-07-01,9782.0,7,3,7,7673.0,8928.0,6764.0,7788.333333333333,-0.4999999999999997,-0.8660254037844388,0,1,0
11,2023-08-01,10825.0,8,3,8,9782.0,7673.0,8928.0,8794.333333333334,-0.8660254037844384,-0.5000000000000004,0,0,0
11,2023-09-01,10907.0,9,3,9,10825.0,9782.0,7673.0,9426.666666666666,-1.0,-1.8369701987210294e-16,0,0,0
11,2023-10-01,11477.0,10,4,10,10907.0,10825.0,9782.0,10504.666666666666,-0.8660254037844386,0.5000000000000001,0,0,0
11,2023-11-01,11244.0,11,4,11,11477.0,10907.0,10825.0,11069.666666666666,-0.5000000000000004,0.8660254037844384,0,0,0
11,2023-12-01,11456.0,12,4,12,11244.0,11477.0,10907.0,11209.333333333334,-2.4492935982947064e-16,1.0,0,0,1
11,2024-01-01,11315.0,1,1,13,11456.0,11244.0,11477.0,11392.333333333334,0.4999999999999999,0.8660254037844387,0,0,0
11,2024-02-01,12499.0,2,1,14,11315.0,11456.0,11244.0,11338.333333333334,0.8660254037844386,0.5000000000000001,0,0,0
11,2024-03-01,13118.0,3,1,15,12499.0,11315.0,11456.0,11756.666666666666,1.0,6.123233995736766e-17,0,0,0
11,2024-04-01,10640.0,4,2,16,13118.0,12499.0,11315.0,12310.666666666666,0.8660254037844387,-0.4999999999999998,1,0,0
11,2024-05-01,12631.0,5,2,17,10640.0,13118.0,12499.0,12085.666666666666,0.4999999999999999,-0.8660254037844387,0,0,0
11,2024-06-01,11740.0,6,2,18,12631.0,10640.0,13118.0,12129.666666666666,1.2246467991473532e-16,-1.0,0,1,0
11,2024-07-01,22576.0,7,3,19,11740.0,12631.0,10640.0,11670.333333333334,-0.4999999999999997,-0.8660254037844388,0,1,0
11,2024-08-01,26943.0,8,3,20,22576.0,11740.0,12631.0,15649.0,-0.8660254037844384,-0.5000000000000004,0,0,0
11,2024-09-01,21613.0,9,3,21,26943.0,22576.0,11740.0,20419.666666666668,-1.0,-1.8369701987210294e-16,0,0,0
11,2024-10-01,23925.0,10,4,22,21613.0,26943.0,22576.0,23710.666666666668,-0.8660254037844386,0.5000000000000001,0,0,0
11,2024-11-01,22374.0,11,4,23,23925.0,21613.0,26943.0,24160.33333333333,-0.5000000000000004,0.8660254037844384,0,0,0
11,2024-12-01,15514.0,12,4,24,22374.0,23925.0,21613.0,22637.33333333333,-2.4492935982947064e-16,1.0,0,0,1
11,2025-01-01,14226.0,1,1,25,15514.0,22374.0,23925.0,20604.33333333333,0.4999999999999999,0.8660254037844387,0,0,0
11,2025-02-01,16411.0,2,1,26,14226.0,15514.0,22374.0,17371.333333333332,0.8660254037844386,0.5000000000000001,0,0,0
11,2025-03-01,15872.0,3,1,27,16411.0,14226.0,15514.0,15383.666666666666,1.0,6.123233995736766e-17,1,0,0
11,2025-04-01,18745.0,4,2,28,15872.0,16411.0,14226.0,15503.0,0.8660254037844387,-0.4999999999999998,1,0,0
11,2025-05-01,20893.0,5,2,29,18745.0,15872.0,16411.0,17009.333333333332,0.4999999999999999,-0.8660254037844387,0,0,0
11,2025-06-01,15968.0,6,2,30,20893.0,18745.0,15872.0,18503.33333333333,1.2246467991473532e-16,-1.0,0,1,0
11,2025-07-01,20400.0,7,3,31,15968.0,20893.0,18745.0,18535.33333333333,-0.4999999999999997,-0.8660254037844388,0,1,0
11,2025-08-01,22202.0,8,3,32,20400.0,15968.0,20893.0,19087.0,-0.8660254037844384,-0.5000000000000004,0,0,0
11,2025-09-01,23935.0,9,3,33,22202.0,20400.0,15968.0,19523.33333333333,-1.0,-1.8369701987210294e-16,0,0,0
11,2025-10-01,20766.0,10,4,34,23935.0,22202.0,20400.0,22179.0,-0.8660254037844386,0.5000000000000001,0,0,0
11,2025-11-01,20773.0,11,4,35,20766.0,23935.0,22202.0,22301.0,-0.5000000000000004,0.8660254037844384,0,0,0
11,2025-12-01,21362.0,12,4,36,20773.0,20766.0,23935.0,21824.666666666668,-2.4492935982947064e-16,1.0,0,0,1
13,2023-01-01,9905.0,1,1,1,,,,,0.4999999999999999,0.8660254037844387,0,0,0
13,2023-02-01,9948.0,2,1,2,9905.0,,,,0.8660254037844386,0.5000000000000001,0,0,0
13,2023-03-01,10809.0,3,1,3,9948.0,9905.0,,,1.0,6.123233995736766e-17,0,0,0
13,2023-04-01,9599.0,4,2,4,10809.0,9948.0,9905.0,10220.666666666666,0.8660254037844387,-0.4999999999999998,1,0,0
13,2023-05-01,11455.0,5,2,5,9599.0,10809.0,9948.0,10118.666666666666,0.4999999999999999,-0.8660254037844387,0,0,0
13,2023-06-01,11099.0,6,2,6,11455.0,9599.0,10809.0,10621.0,1.2246467991473532e-16,-1.0,0,1,0
