year,route,january,february,march,april,may,june,july,august,september,october,november,december
2024,1B,32344,52075,68219,60867,71993,65846,70624,70459,69424,71977,64956,74719
2024,1C,,13893,14109,16991,16504,14866,18064,16751,16748,17492,15709,18204
2024,2B,47893,57415,56502,52955,71663,63343,77511,88808,81873,83658,72990,70922
2024,3A,75057,100410,112459,114197,124323,118874,131583,122946,138664,149093,136093,161611
2024,3B,53210,65884,75839,77729,86779,83238,102657,107626,111227,112075,102271,98183
2024,4A,8472,11406,10879,9671,12346,10140,10928,12511,13915,17326,15443,20564
2024,4B,6960,8928,9627,9078,18089,10798,13493,15673,16784,17793,16918,12789
2024,5A,11348,14711,14847,14206,15281,14744,15469,16770,16412,19084,22533,22533
2024,5B,22770,27868,28394,24527,28143,26460,28130,30689,31852,33127,31061,37933
2024,6A,16536,24286,22737,21760,23280,21569,22791,22946,26513,25701,23700,24405
2024,6B,14250,16890,15411,14389,18725,17043,20872,20672,21254,21256,21048,21693
2024,7,4706,5696,6388,5348,5953,5924,6727,6709,6788,7512,6644,7319
2024,8,26454,30554,27833,26604,30953,29654,32920,29407,31246,32526,30491,35370
2024,9,27560,28479,29616,29444,31846,28644,32594,32115,32923,35914,33213,37309
2024,10,27526,31856,30635,27584,34130,31128,37051,41643,41083,46632,46221,49380
2024,11,11315,12499,13118,10640,12631,11740,22576,26943,21613,23925,22374,15514
2024,13,12753,17394,16608,16302,18835,17376,20276,19320,20061,19803,19275,21177
2024,14,24939,23995,23998,20772,24299,20597,24777,27068,26454,28268,24620,24826
2024,15,63826,82458,78412,87798,101930,125572,137730,120596,121231,121589,121341,140023
2025,1A,111873,114179,112605,146113,158705,166215,207109,167638,171859,174426,183658,195872
2025,1B,56854,34613,25866,33705,38739,31717,44470,44570,45220,47432,43822,46920
2025,2A,24278,27643,32966,57233,49037,47769,47969,64787,54137,49947,48604,58794
2025,2B,89915,84129,52013,58719,60853,48300,67043,75396,70479,79317,68481,68141
2025,3A,166703,131511,89856,97140,106986,88510,104285,108553,107124,117987,116003,114178
2025,3B,87086,91830,66198,70502,95264,66140,80668,76119,86111,90206,80522,81238
2025,4A,24844,14984,14055,17746,17997,18757,20304,20568,20889,24154,27435,26237
2025,4B,15158,16460,11487,12506,16013,13094,12921,13461,15163,16399,16521,29395
2025,5A,20772,21298,22488,23994,23324,37209,30270,29653,31727,33468,32460,29481
2025,5B,23836,28030,24482,24532,25416,21705,32124,35688,24145,33581,28749,27387
2025,6A/6,17304,28997,24248,27187,31988,24904,32638,33062,35096,37960,43741,36822
2025,8,27852,28817,27957,31191,30633,28056,41277,42374,42844,54373,49153,57753
2025,9,32477,32327,31637,37731,42204,32153,43754,40164,37499,41210,36182,44058
2025,10,45261,42214,37325,40586,41398,42473,46845,45132,46157,47872,47361,46065
2025,11,14226,16411,15872,18745,20893,15968,20400,22202,23935,20766,20773,21362
2025,12,32889,23455,24549,24379,28901,28482,32672,33656,41521,36438,36006,36933
2025,13,18722,24473,14228,15974,17120,18732,20862,20173,22668,20999,21377,21275
2025,14,24496,29108,17357,20245,20595,18130,22374,23671,23227,28222,23551,25104
2025,15,118828,113374,109040,145003,138205,122316,152555,136946,136031,149237,156859,149629
2025,6B,22984,,,,,,,,,,,
2025,7,4840,,,,,,,,,,,
